supplier_id,supplier_name,product_type,inventory_count,delivery_status,delivery_days,warehouse_location,shipment_cost,order_quantity,timestamp
S270,Mahindra Logistics,Tyre,392,Delivered,8,Dallas,7680,52,2026-05-15 22:07:21.199935
S271,Mahindra Logistics,Tyre,137,Delivered,14,Chicago,5722,55,2026-05-16 22:07:21.199935
S272,Tata Components,Motor Controller,414,In Transit,14,California,8680,46,2026-05-08 22:07:21.199935
S273,Tata Components,Motor Controller,320,In Transit,2,Chicago,8934,49,2026-04-19 22:07:21.199935
S274,Continental Supply,Motor Controller,92,Delayed,10,Dallas,8345,83,2026-05-14 22:07:21.199935
S275,Mahindra Logistics,Motor Controller,105,Delayed,5,Dallas,2196,19,2026-04-18 22:07:21.199935
S276,Mahindra Logistics,Brake System,280,In Transit,8,Toronto,2245,39,2026-05-06 22:07:21.199935
S277,Continental Supply,EV Battery,206,In Transit,1,New York,5871,91,2026-04-18 22:07:21.199935
S278,Continental Supply,EV Battery,336,In Transit,14,New York,9205,23,2026-05-02 22:07:21.199935
S279,Tesla Parts Ltd,EV Battery,379,Delivered,12,New York,4694,59,2026-05-09 22:07:21.199935
S280,Tata Components,Brake System,430,In Transit,10,Toronto,7071,48,2026-05-04 22:07:21.199935
S281,Continental Supply,Brake System,379,Delayed,1,New York,9168,29,2026-04-29 22:07:21.199935
S282,Bosch Mobility,Motor Controller,305,In Transit,11,Toronto,1885,41,2026-05-16 22:07:21.199935
S283,Bosch Mobility,EV Battery,168,Delivered,2,New York,6951,67,2026-04-20 22:07:21.199935
S284,Continental Supply,Brake System,482,Delivered,14,Dallas,5776,11,2026-04-25 22:07:21.199935
S285,Tata Components,EV Battery,151,Delivered,5,California,3510,77,2026-04-29 22:07:21.199935
S286,Bosch Mobility,Brake System,497,Delayed,9,Toronto,1963,14,2026-04-17 22:07:21.199935
S287,Tata Components,Motor Controller,305,In Transit,8,Chicago,5871,68,2026-05-04 22:07:21.199935
S288,Tata Components,EV Battery,170,In Transit,15,Dallas,8871,69,2026-04-28 22:07:21.199935
S289,Mahindra Logistics,Tyre,63,Delayed,13,Dallas,5304,87,2026-05-10 22:07:21.199935
S290,Mahindra Logistics,Tyre,233,Delayed,4,Dallas,9184,20,2026-04-30 22:07:21.199935
S291,Continental Supply,Motor Controller,120,Delayed,8,Toronto,6522,13,2026-04-19 22:07:21.199935
S292,Continental Supply,Motor Controller,111,Delivered,1,California,6162,49,2026-05-12 22:07:21.199935
S293,Tesla Parts Ltd,Tyre,195,In Transit,13,New York,4934,58,2026-05-04 22:07:21.199935
S294,Mahindra Logistics,Sensor Module,148,Delivered,13,California,5133,55,2026-05-06 22:07:21.199935
S295,Continental Supply,Sensor Module,395,In Transit,14,Toronto,4683,84,2026-05-03 22:07:21.199935
S296,Bosch Mobility,Brake System,468,Delivered,5,Toronto,6371,38,2026-05-07 22:07:21.199935
S297,Tesla Parts Ltd,Tyre,263,In Transit,13,Dallas,6174,94,2026-05-17 22:07:21.199935
S298,Bosch Mobility,Motor Controller,149,In Transit,14,New York,8229,31,2026-05-03 22:07:21.199935
S299,Tesla Parts Ltd,Tyre,133,Delayed,8,Toronto,2051,14,2026-04-20 22:07:21.199935
S300,Tesla Parts Ltd,EV Battery,340,Delivered,2,Chicago,5150,67,2026-04-28 22:07:21.199935
S301,Tata Components,EV Battery,374,Delayed,3,California,4370,60,2026-05-05 22:07:21.199935
S302,Mahindra Logistics,Motor Controller,254,Delivered,6,Chicago,9073,13,2026-05-06 22:07:21.199935
S303,Bosch Mobility,Sensor Module,132,In Transit,9,New York,2274,58,2026-05-05 22:07:21.199935
S304,Continental Supply,EV Battery,358,In Transit,3,Chicago,1254,48,2026-04-23 22:07:21.199935
S305,Bosch Mobility,Sensor Module,110,In Transit,6,Dallas,8589,95,2026-04-21 22:07:21.199935
S306,Mahindra Logistics,Brake System,315,In Transit,15,Toronto,8644,52,2026-04-29 22:07:21.199935
S307,Tesla Parts Ltd,Sensor Module,90,Delayed,13,Chicago,1449,28,2026-04-24 22:07:21.199935
S308,Tesla Parts Ltd,Tyre,165,In Transit,9,New York,9930,80,2026-04-18 22:07:21.199935
S309,Continental Supply,Motor Controller,352,Delayed,1,California,2171,16,2026-04-27 22:07:21.199935
S310,Mahindra Logistics,Brake System,233,In Transit,1,Toronto,4500,71,2026-04-28 22:07:21.199935
S311,Tata Components,EV Battery,104,Delivered,7,Chicago,1069,69,2026-05-12 22:07:21.199935
S312,Tesla Parts Ltd,EV Battery,419,Delayed,7,California,5609,55,2026-05-11 22:07:21.199935
S313,Tesla Parts Ltd,Motor Controller,383,Delivered,7,Chicago,2496,64,2026-04-20 22:07:21.199935
S314,Bosch Mobility,Motor Controller,150,Delayed,14,California,1817,92,2026-04-24 22:07:21.199935
S315,Continental Supply,Motor Controller,458,Delayed,2,Toronto,5598,66,2026-05-03 22:07:21.199935
S316,Continental Supply,EV Battery,320,Delivered,2,California,2061,27,2026-05-11 22:07:21.199935
S317,Bosch Mobility,Sensor Module,191,Delivered,13,Toronto,3722,14,2026-05-07 22:07:21.199935
S318,Tesla Parts Ltd,Motor Controller,250,In Transit,5,Chicago,6341,80,2026-05-03 22:07:21.199935
S319,Mahindra Logistics,EV Battery,466,Delivered,10,New York,9845,90,2026-05-11 22:07:21.199935
S320,Bosch Mobility,Tyre,436,Delayed,1,New York,6289,27,2026-05-15 22:07:21.199935
S321,Continental Supply,Brake System,190,Delayed,7,Chicago,3241,93,2026-04-22 22:07:21.199935
S322,Tata Components,Tyre,385,In Transit,3,Dallas,8707,64,2026-05-14 22:07:21.199935
S323,Tata Components,Brake System,336,In Transit,11,Chicago,9157,34,2026-05-16 22:07:21.199935
S324,Mahindra Logistics,Tyre,317,Delayed,2,Toronto,6733,40,2026-04-26 22:07:21.199935
S325,Tata Components,Motor Controller,401,Delivered,8,Toronto,5758,99,2026-04-19 22:07:21.199935
S326,Tata Components,Tyre,282,In Transit,7,Chicago,2412,54,2026-05-06 22:07:21.199935
S327,Continental Supply,Brake System,368,Delivered,8,New York,7516,96,2026-04-24 22:07:21.199935
S328,Bosch Mobility,Motor Controller,294,Delayed,1,Toronto,8711,60,2026-04-26 22:07:21.199935
S329,Bosch Mobility,Sensor Module,353,Delayed,1,New York,1374,68,2026-05-13 22:07:21.199935
S330,Bosch Mobility,Tyre,226,Delayed,10,Toronto,6578,84,2026-04-30 22:07:21.199935
S331,Tesla Parts Ltd,Brake System,346,In Transit,7,Toronto,6664,92,2026-04-22 22:07:21.199935
S332,Continental Supply,EV Battery,392,Delayed,6,Toronto,4160,53,2026-05-15 22:07:21.199935
S333,Mahindra Logistics,Motor Controller,414,In Transit,14,California,7275,15,2026-04-26 22:07:21.199935
S334,Continental Supply,Brake System,245,Delivered,5,Toronto,4101,50,2026-04-21 22:07:21.199935
S335,Tata Components,EV Battery,347,Delivered,2,Toronto,5314,72,2026-05-01 22:07:21.199935
S336,Continental Supply,EV Battery,68,Delivered,2,New York,8310,11,2026-04-29 22:07:21.199935
S337,Continental Supply,Sensor Module,459,In Transit,4,California,2039,70,2026-04-19 22:07:21.199935
S338,Continental Supply,Brake System,255,In Transit,14,California,2122,39,2026-04-24 22:07:21.199935
S339,Mahindra Logistics,EV Battery,347,In Transit,1,Toronto,9319,97,2026-04-21 22:07:21.199935
S340,Bosch Mobility,Tyre,272,In Transit,12,Dallas,1257,20,2026-05-05 22:07:21.199935
S341,Bosch Mobility,EV Battery,393,In Transit,10,Dallas,8659,35,2026-05-13 22:07:21.199935
S342,Tesla Parts Ltd,Sensor Module,188,Delivered,13,New York,7660,34,2026-05-03 22:07:21.199935
S343,Continental Supply,Motor Controller,74,In Transit,9,New York,8129,31,2026-05-03 22:07:21.199935
S344,Tata Components,Motor Controller,175,In Transit,10,Dallas,5372,28,2026-05-07 22:07:21.199935
S345,Continental Supply,EV Battery,134,In Transit,1,Toronto,3684,93,2026-05-01 22:07:21.199935
S346,Continental Supply,Motor Controller,154,In Transit,5,Dallas,7905,42,2026-05-02 22:07:21.199935
S347,Tata Components,Tyre,356,Delivered,12,Chicago,9948,24,2026-05-17 22:07:21.199935
S348,Tata Components,Brake System,234,In Transit,10,California,7658,57,2026-04-25 22:07:21.199935
S349,Tata Components,Motor Controller,205,In Transit,7,Toronto,2193,61,2026-05-10 22:07:21.199935
S350,Tesla Parts Ltd,Sensor Module,249,Delivered,8,New York,2209,71,2026-05-11 22:07:21.199935
S351,Continental Supply,Tyre,86,In Transit,11,New York,3141,93,2026-05-16 22:07:21.199935
S352,Tesla Parts Ltd,Motor Controller,369,Delivered,6,New York,6744,18,2026-04-19 22:07:21.199935
S353,Tata Components,Sensor Module,312,Delayed,10,Toronto,7937,16,2026-05-14 22:07:21.199935
S354,Bosch Mobility,Brake System,56,In Transit,11,New York,1895,80,2026-04-24 22:07:21.199935
S355,Mahindra Logistics,EV Battery,325,Delayed,4,California,2074,96,2026-04-20 22:07:21.199935
S356,Mahindra Logistics,Motor Controller,278,In Transit,10,Chicago,6363,58,2026-05-12 22:07:21.199935
S357,Mahindra Logistics,EV Battery,336,Delivered,2,Toronto,1877,54,2026-04-22 22:07:21.199935
S358,Tata Components,Brake System,192,In Transit,2,Dallas,8651,45,2026-04-29 22:07:21.199935
S359,Tata Components,Tyre,387,Delayed,7,Dallas,9770,24,2026-05-17 22:07:21.199935
S360,Tesla Parts Ltd,Tyre,475,In Transit,13,California,2069,56,2026-05-13 22:07:21.199935
S361,Bosch Mobility,Tyre,237,In Transit,4,California,9605,29,2026-05-03 22:07:21.199935
S362,Tesla Parts Ltd,Tyre,385,In Transit,9,California,1293,13,2026-05-10 22:07:21.199935
S363,Mahindra Logistics,EV Battery,428,Delivered,13,California,4135,32,2026-04-24 22:07:21.199935
S364,Bosch Mobility,Motor Controller,461,Delivered,6,California,6662,49,2026-04-29 22:07:21.199935
S365,Bosch Mobility,Sensor Module,133,In Transit,9,California,2853,74,2026-05-09 22:07:21.199935
S366,Bosch Mobility,EV Battery,79,Delayed,2,New York,2633,54,2026-04-26 22:07:21.199935
S367,Mahindra Logistics,EV Battery,257,Delayed,10,Toronto,4220,52,2026-05-01 22:07:21.199935
S368,Mahindra Logistics,EV Battery,309,Delayed,14,California,6259,76,2026-04-25 22:07:21.199935
S369,Continental Supply,Motor Controller,102,In Transit,1,Chicago,5681,30,2026-04-25 22:07:21.199935
S370,Bosch Mobility,EV Battery,52,Delivered,10,Dallas,5661,80,2026-05-01 22:07:21.199935
S371,Mahindra Logistics,Sensor Module,119,Delivered,5,California,5259,28,2026-05-07 22:07:21.199935
S372,Mahindra Logistics,Motor Controller,290,Delayed,5,California,2298,23,2026-05-06 22:07:21.199935
S373,Tata Components,Sensor Module,484,In Transit,5,Toronto,7354,64,2026-04-20 22:07:21.199935
S374,Bosch Mobility,Brake System,500,In Transit,9,Toronto,6865,60,2026-04-30 22:07:21.199935
S375,Mahindra Logistics,Brake System,294,In Transit,8,California,8953,21,2026-04-23 22:07:21.199935
S376,Continental Supply,Sensor Module,248,Delayed,9,California,4771,49,2026-04-30 22:07:21.199935
S377,Continental Supply,EV Battery,192,Delivered,1,Toronto,9416,89,2026-05-01 22:07:21.199935
S378,Tata Components,Motor Controller,186,In Transit,12,California,9860,66,2026-05-06 22:07:21.199935
S379,Tesla Parts Ltd,Motor Controller,428,In Transit,14,New York,8626,21,2026-05-14 22:07:21.199935
S380,Tata Components,Sensor Module,282,In Transit,3,Dallas,1255,52,2026-04-28 22:07:21.199935
S381,Bosch Mobility,Motor Controller,146,Delivered,8,Toronto,9131,93,2026-05-01 22:07:21.199935
S382,Continental Supply,Tyre,438,In Transit,9,Chicago,5143,32,2026-04-28 22:07:21.199935
S383,Tesla Parts Ltd,Tyre,348,Delayed,5,Chicago,3501,10,2026-05-10 22:07:21.199935
S384,Tata Components,EV Battery,476,Delivered,12,New York,3027,21,2026-05-07 22:07:21.199935
S385,Mahindra Logistics,Tyre,445,Delayed,13,California,6386,86,2026-05-10 22:07:21.199935
S386,Continental Supply,Brake System,87,In Transit,11,New York,2390,97,2026-05-07 22:07:21.199935
S387,Tesla Parts Ltd,Brake System,361,Delivered,7,California,2110,57,2026-04-21 22:07:21.199935
S388,Tata Components,Motor Controller,332,In Transit,1,Chicago,2737,20,2026-05-06 22:07:21.199935
S389,Continental Supply,Motor Controller,324,In Transit,15,Dallas,8235,57,2026-04-22 22:07:21.199935
S390,Continental Supply,Brake System,56,Delivered,7,Dallas,3276,35,2026-05-11 22:07:21.199935
S391,Tesla Parts Ltd,Motor Controller,184,In Transit,15,Toronto,9797,74,2026-04-18 22:07:21.199935
S392,Tata Components,Brake System,311,In Transit,7,Toronto,7904,72,2026-04-29 22:07:21.199935
S393,Bosch Mobility,Motor Controller,300,Delivered,3,Chicago,9961,29,2026-04-20 22:07:21.199935
S394,Tata Components,Tyre,144,Delayed,6,Dallas,5062,77,2026-05-16 22:07:21.199935
S395,Mahindra Logistics,EV Battery,340,Delivered,14,New York,8526,34,2026-05-11 22:07:21.199935
S396,Tesla Parts Ltd,EV Battery,59,Delivered,10,California,1627,53,2026-05-10 22:07:21.199935
S397,Tesla Parts Ltd,Tyre,278,Delayed,13,Toronto,4927,87,2026-05-08 22:07:21.199935
S398,Bosch Mobility,Brake System,93,Delayed,3,Toronto,4620,95,2026-05-13 22:07:21.199935
S399,Tata Components,Tyre,428,Delivered,14,Chicago,8712,54,2026-05-12 22:07:21.199935
S400,Tata Components,Tyre,69,In Transit,14,New York,5410,81,2026-04-27 22:07:21.199935
S401,Mahindra Logistics,Sensor Module,76,Delivered,12,Chicago,8591,15,2026-05-06 22:07:21.199935
S402,Tata Components,EV Battery,295,Delayed,11,Toronto,9893,23,2026-05-03 22:07:21.199935
S403,Bosch Mobility,Tyre,163,Delayed,15,Chicago,3474,29,2026-04-26 22:07:21.199935
S404,Bosch Mobility,Brake System,409,Delayed,8,Toronto,6513,95,2026-05-06 22:07:21.199935
S405,Tesla Parts Ltd,Motor Controller,167,In Transit,4,Chicago,6889,81,2026-04-22 22:07:21.199935
S406,Bosch Mobility,EV Battery,85,In Transit,2,California,5063,68,2026-04-23 22:07:21.199935
S407,Tesla Parts Ltd,Motor Controller,75,Delivered,14,Toronto,1365,98,2026-05-10 22:07:21.199935
S408,Tesla Parts Ltd,Brake System,266,Delivered,15,New York,5546,45,2026-05-12 22:07:21.199935
S409,Continental Supply,Motor Controller,459,In Transit,15,Chicago,8749,46,2026-05-16 22:07:21.199935
S410,Continental Supply,EV Battery,107,Delivered,13,Toronto,9869,36,2026-04-20 22:07:21.199935
S411,Continental Supply,Tyre,485,Delayed,2,New York,7579,16,2026-04-23 22:07:21.199935
S412,Continental Supply,Tyre,204,Delayed,6,Dallas,4087,65,2026-04-26 22:07:21.199935
S413,Tata Components,Brake System,364,Delayed,8,Dallas,6767,57,2026-05-02 22:07:21.199935
S414,Continental Supply,Tyre,70,In Transit,11,California,4722,51,2026-04-29 22:07:21.199935
S415,Continental Supply,Brake System,92,In Transit,3,Toronto,3788,31,2026-05-15 22:07:21.199935
S416,Tesla Parts Ltd,EV Battery,297,Delivered,1,Dallas,3986,39,2026-05-14 22:07:21.199935
S417,Bosch Mobility,Tyre,232,Delayed,15,California,9790,64,2026-05-01 22:07:21.199935
S418,Continental Supply,Motor Controller,267,Delivered,14,Dallas,9305,90,2026-04-19 22:07:21.199935
S419,Continental Supply,Sensor Module,81,In Transit,14,Dallas,4552,99,2026-05-17 22:07:21.199935
S420,Mahindra Logistics,EV Battery,139,In Transit,5,Dallas,8950,74,2026-05-12 22:07:21.199935
S421,Tesla Parts Ltd,Tyre,470,Delivered,7,California,2340,57,2026-04-23 22:07:21.199935
S422,Continental Supply,Motor Controller,183,In Transit,13,Chicago,9186,27,2026-05-09 22:07:21.199935
S423,Bosch Mobility,Motor Controller,445,Delivered,15,Toronto,3875,55,2026-05-15 22:07:21.199935
S424,Bosch Mobility,Tyre,63,Delivered,2,Toronto,2911,99,2026-05-05 22:07:21.199935
S425,Mahindra Logistics,Motor Controller,413,Delayed,1,New York,7979,12,2026-05-08 22:07:21.199935
S426,Continental Supply,Sensor Module,205,Delivered,8,New York,7266,21,2026-04-25 22:07:21.199935
S427,Tata Components,Tyre,104,Delivered,4,New York,2118,22,2026-05-03 22:07:21.199935
S428,Tesla Parts Ltd,Motor Controller,428,Delayed,6,Toronto,1914,32,2026-05-09 22:07:21.199935
S429,Tesla Parts Ltd,Sensor Module,252,In Transit,10,Chicago,3148,54,2026-05-16 22:07:21.199935
S430,Continental Supply,Tyre,148,Delivered,13,California,8413,93,2026-05-17 22:07:21.199935
S431,Tesla Parts Ltd,Brake System,258,Delayed,9,Toronto,7121,96,2026-04-23 22:07:21.199935
S432,Continental Supply,Sensor Module,136,Delayed,10,New York,3399,44,2026-05-03 22:07:21.199935
S433,Bosch Mobility,Tyre,231,In Transit,3,California,2323,51,2026-04-17 22:07:21.199935
S434,Tesla Parts Ltd,Tyre,251,Delayed,14,California,9184,67,2026-04-24 22:07:21.199935
S435,Tata Components,Sensor Module,221,Delayed,10,Dallas,5061,72,2026-04-17 22:07:21.199935
S436,Tata Components,Brake System,86,In Transit,15,Chicago,8990,84,2026-05-07 22:07:21.199935
S437,Tata Components,Sensor Module,260,In Transit,6,Dallas,5607,17,2026-04-26 22:07:21.199935
S438,Tesla Parts Ltd,Brake System,157,In Transit,11,Toronto,7978,98,2026-04-22 22:07:21.199935
S439,Tata Components,Brake System,179,In Transit,6,California,9943,51,2026-04-19 22:07:21.199935
S440,Mahindra Logistics,Brake System,101,Delivered,1,New York,5070,68,2026-04-17 22:07:21.199935
S441,Tata Components,EV Battery,261,Delivered,2,New York,3990,42,2026-05-14 22:07:21.199935
S442,Continental Supply,Tyre,277,Delayed,9,Dallas,9586,49,2026-04-28 22:07:21.199935
S443,Bosch Mobility,EV Battery,73,Delivered,13,Toronto,1449,87,2026-04-28 22:07:21.199935
S444,Tesla Parts Ltd,Tyre,86,Delivered,5,New York,6175,70,2026-05-04 22:07:21.199935
S445,Tata Components,Motor Controller,417,In Transit,14,California,2512,85,2026-05-04 22:07:21.199935
S446,Bosch Mobility,Tyre,428,Delayed,10,Dallas,3339,97,2026-05-08 22:07:21.199935
S447,Mahindra Logistics,Motor Controller,454,In Transit,14,Dallas,9530,77,2026-05-03 22:07:21.199935
S448,Tesla Parts Ltd,Brake System,295,Delayed,6,Toronto,7611,27,2026-05-07 22:07:21.199935
S449,Tata Components,Sensor Module,291,Delivered,8,California,5998,62,2026-04-25 22:07:21.199935
S450,Continental Supply,Motor Controller,254,Delayed,2,California,4400,26,2026-04-22 22:07:21.199935
S451,Continental Supply,Motor Controller,150,In Transit,2,Chicago,2108,49,2026-05-14 22:07:21.199935
S452,Mahindra Logistics,Motor Controller,429,Delayed,11,Chicago,8115,52,2026-05-02 22:07:21.199935
S453,Tesla Parts Ltd,EV Battery,336,Delivered,10,California,4129,98,2026-04-30 22:07:21.199935
S454,Continental Supply,Tyre,71,Delayed,7,California,7058,66,2026-05-07 22:07:21.199935
S455,Tata Components,Tyre,137,Delayed,7,New York,8166,82,2026-04-24 22:07:21.199935
S456,Continental Supply,EV Battery,228,Delayed,14,New York,2896,57,2026-05-16 22:07:21.199935
S457,Tata Components,EV Battery,196,Delayed,8,Dallas,7495,26,2026-04-25 22:07:21.199935
S458,Continental Supply,Motor Controller,69,Delayed,6,New York,5329,76,2026-04-23 22:07:21.199935
S459,Bosch Mobility,EV Battery,130,Delayed,15,Toronto,9394,92,2026-04-27 22:07:21.199935
S460,Mahindra Logistics,Tyre,209,In Transit,13,Dallas,1248,25,2026-04-29 22:07:21.199935
S461,Mahindra Logistics,Motor Controller,81,Delivered,1,Toronto,1023,73,2026-04-23 22:07:21.199935
S462,Bosch Mobility,Brake System,402,Delayed,12,Toronto,9674,88,2026-05-05 22:07:21.199935
S463,Continental Supply,Sensor Module,479,Delayed,6,New York,9015,29,2026-05-13 22:07:21.199935
S464,Tata Components,EV Battery,451,In Transit,7,New York,5974,46,2026-05-11 22:07:21.199935
S465,Continental Supply,Motor Controller,368,In Transit,5,New York,3855,48,2026-05-16 22:07:21.199935
S466,Mahindra Logistics,Motor Controller,320,In Transit,15,New York,1500,97,2026-04-22 22:07:21.199935
S467,Tata Components,Tyre,414,Delayed,4,Chicago,2735,12,2026-05-04 22:07:21.199935
S468,Bosch Mobility,Brake System,381,In Transit,12,California,3393,89,2026-05-05 22:07:21.199935
S469,Bosch Mobility,Motor Controller,158,Delayed,14,New York,9704,41,2026-04-22 22:07:21.199935
S470,Tesla Parts Ltd,Motor Controller,203,Delivered,13,California,6596,58,2026-04-24 22:07:21.199935
S471,Tata Components,Motor Controller,193,Delayed,12,Toronto,3904,81,2026-05-04 22:07:21.199935
S472,Mahindra Logistics,Tyre,111,Delayed,8,Chicago,4722,85,2026-05-16 22:07:21.199935
S473,Continental Supply,Sensor Module,265,In Transit,11,Chicago,2852,62,2026-04-19 22:07:21.199935
S474,Tesla Parts Ltd,Brake System,163,Delivered,9,Dallas,8567,74,2026-05-04 22:07:21.199935
S475,Bosch Mobility,EV Battery,335,In Transit,2,California,2624,91,2026-05-12 22:07:21.199935
S476,Tesla Parts Ltd,Motor Controller,276,In Transit,5,Dallas,8334,75,2026-05-11 22:07:21.199935
S477,Tesla Parts Ltd,Motor Controller,342,Delayed,1,Toronto,8820,61,2026-05-12 22:07:21.199935
S478,Tesla Parts Ltd,Brake System,117,Delayed,5,Chicago,7202,82,2026-05-02 22:07:21.199935
S479,Tata Components,EV Battery,154,In Transit,6,Dallas,5063,68,2026-05-17 22:07:21.199935
S480,Bosch Mobility,EV Battery,265,In Transit,11,Toronto,1280,66,2026-05-13 22:07:21.199935
S481,Continental Supply,Brake System,259,In Transit,12,Toronto,1253,53,2026-05-08 22:07:21.199935
S482,Bosch Mobility,Brake System,374,Delayed,2,Chicago,1106,13,2026-04-25 22:07:21.199935
S483,Continental Supply,Sensor Module,146,Delayed,1,Toronto,9360,46,2026-04-25 22:07:21.199935
S484,Bosch Mobility,Motor Controller,316,In Transit,12,Toronto,8784,95,2026-04-30 22:07:21.199935
S485,Tesla Parts Ltd,Brake System,168,Delayed,8,California,3813,52,2026-05-14 22:07:21.199935
S486,Continental Supply,Motor Controller,126,Delayed,10,Toronto,5704,14,2026-04-30 22:07:21.199935
S487,Tata Components,Motor Controller,334,Delayed,6,New York,1286,27,2026-04-24 22:07:21.199935
S488,Continental Supply,EV Battery,415,Delivered,12,Chicago,7272,64,2026-05-03 22:07:21.199935
S489,Mahindra Logistics,Sensor Module,329,Delivered,8,New York,5646,83,2026-05-04 22:07:21.199935
S490,Tata Components,Sensor Module,126,Delivered,8,California,4347,79,2026-05-14 22:07:21.199935
S491,Continental Supply,Brake System,421,Delayed,9,Chicago,9383,29,2026-04-30 22:07:21.199935
S492,Continental Supply,Brake System,274,In Transit,4,California,9400,90,2026-04-29 22:07:21.199935
S493,Continental Supply,Brake System,245,In Transit,6,California,4097,12,2026-05-14 22:07:21.199935
S494,Mahindra Logistics,Sensor Module,77,In Transit,4,California,5441,73,2026-05-07 22:07:21.199935
S495,Tesla Parts Ltd,Motor Controller,126,In Transit,7,California,6551,72,2026-04-18 22:07:21.199935
S496,Bosch Mobility,Sensor Module,440,In Transit,15,Dallas,8290,77,2026-04-30 22:07:21.199935
S497,Mahindra Logistics,EV Battery,171,In Transit,1,New York,3373,11,2026-04-29 22:07:21.199935
S498,Mahindra Logistics,EV Battery,378,Delayed,9,Dallas,3578,51,2026-04-28 22:07:21.199935
S499,Tesla Parts Ltd,Motor Controller,364,In Transit,2,Chicago,3925,68,2026-05-01 22:07:21.199935
S500,Tesla Parts Ltd,Brake System,150,In Transit,6,Chicago,2860,78,2026-05-09 22:07:21.199935
S501,Bosch Mobility,Brake System,394,In Transit,6,New York,4428,88,2026-05-11 22:07:21.199935
S502,Mahindra Logistics,Sensor Module,476,In Transit,12,California,1272,88,2026-04-23 22:07:21.199935
S503,Tata Components,EV Battery,100,In Transit,14,Toronto,4480,25,2026-05-16 22:07:21.199935
S504,Tata Components,Tyre,456,Delayed,1,Chicago,6753,54,2026-05-04 22:07:21.199935
S505,Continental Supply,EV Battery,92,In Transit,5,New York,7170,62,2026-04-24 22:07:21.199935
S506,Mahindra Logistics,EV Battery,348,Delayed,5,California,3823,75,2026-05-01 22:07:21.199935
S507,Tesla Parts Ltd,Brake System,491,In Transit,14,Toronto,2887,19,2026-05-13 22:07:21.199935
S508,Bosch Mobility,Sensor Module,476,Delayed,7,Chicago,3917,70,2026-05-09 22:07:21.199935
S509,Tata Components,Brake System,448,Delivered,8,California,8577,20,2026-04-17 22:07:21.199935
S510,Continental Supply,Brake System,58,In Transit,10,California,4088,90,2026-04-24 22:07:21.199935
S511,Mahindra Logistics,Motor Controller,140,In Transit,14,California,9349,25,2026-04-27 22:07:21.199935
S512,Bosch Mobility,Sensor Module,56,Delayed,8,New York,2528,81,2026-05-03 22:07:21.199935
S513,Tesla Parts Ltd,Motor Controller,307,In Transit,13,Dallas,6626,89,2026-04-28 22:07:21.199935
S514,Mahindra Logistics,Motor Controller,489,In Transit,10,Toronto,8832,99,2026-05-06 22:07:21.199935
S515,Mahindra Logistics,Tyre,197,In Transit,2,Toronto,7306,57,2026-05-13 22:07:21.199935
S516,Continental Supply,Sensor Module,479,Delayed,6,New York,9869,93,2026-05-03 22:07:21.199935
S517,Tesla Parts Ltd,EV Battery,122,Delayed,1,New York,3583,29,2026-04-30 22:07:21.199935
S518,Continental Supply,Motor Controller,449,Delivered,6,Toronto,1114,63,2026-04-21 22:07:21.199935
S519,Mahindra Logistics,EV Battery,134,Delivered,1,Chicago,4380,92,2026-05-11 22:07:21.199935
S520,Tata Components,Sensor Module,278,Delayed,5,Toronto,5190,64,2026-04-30 22:07:21.199935
S521,Tata Components,Motor Controller,343,In Transit,12,Toronto,5385,40,2026-05-08 22:07:21.199935
S522,Mahindra Logistics,Motor Controller,97,In Transit,9,New York,5362,47,2026-05-01 22:07:21.199935
S523,Tesla Parts Ltd,Sensor Module,336,In Transit,2,Dallas,4384,93,2026-04-20 22:07:21.199935
S524,Mahindra Logistics,Sensor Module,137,Delivered,10,Dallas,4866,50,2026-04-28 22:07:21.199935
S525,Mahindra Logistics,Sensor Module,235,Delayed,1,New York,7936,19,2026-05-15 22:07:21.199935
S526,Continental Supply,Motor Controller,96,Delayed,12,Toronto,5702,42,2026-05-14 22:07:21.199935
S527,Tata Components,Sensor Module,193,Delivered,1,Dallas,5775,30,2026-05-16 22:07:21.199935
S528,Tesla Parts Ltd,Tyre,449,In Transit,6,New York,2236,30,2026-04-28 22:07:21.199935
S529,Tesla Parts Ltd,Sensor Module,85,Delivered,1,New York,2307,17,2026-04-28 22:07:21.199935
S530,Tata Components,Sensor Module,178,In Transit,11,Chicago,2440,90,2026-04-17 22:07:21.199935
S531,Tata Components,Brake System,186,In Transit,4,Chicago,8286,24,2026-05-03 22:07:21.199935
S532,Continental Supply,Sensor Module,109,In Transit,8,Chicago,7316,93,2026-05-05 22:07:21.199935
S533,Tesla Parts Ltd,EV Battery,156,Delivered,10,Toronto,1346,89,2026-05-05 22:07:21.199935
S534,Tata Components,Sensor Module,265,Delayed,11,California,7744,60,2026-05-16 22:07:21.199935
S535,Continental Supply,Tyre,192,In Transit,6,New York,7410,16,2026-05-02 22:07:21.199935
S536,Mahindra Logistics,Motor Controller,244,In Transit,11,California,2048,19,2026-04-17 22:07:21.199935
S537,Mahindra Logistics,Motor Controller,267,In Transit,1,New York,9827,82,2026-04-26 22:07:21.199935
S538,Continental Supply,Brake System,269,In Transit,15,New York,3244,87,2026-05-16 22:07:21.199935
S539,Bosch Mobility,Brake System,362,Delayed,8,Toronto,9589,90,2026-05-15 22:07:21.199935
